step,continuous_action,discrete_action,reward,pnl,portfolio_value,position,position_change,pnl_component,pnl_unclipped,inactivity_penalty,opportunity_penalty,trade_bonus,total_reward
154,0.3188760280609131,0,-0.01,0.0,196527.4145153036,-0.035727061639093935,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
155,-0.46274423599243164,2,0.0,0.0,196653.4417252355,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
156,-0.29575443267822266,0,-0.01,0.0,196324.52053225518,-0.035727061639093935,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
157,-0.10940694808959961,0,-0.02,0.0,196240.8298903656,-0.035727061639093935,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
158,-0.4262903928756714,2,0.0,0.0,196451.33373754314,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
159,0.314985990524292,0,-0.01,0.0,196335.45301311673,-0.035727061639093935,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
160,0.152182936668396,0,-0.02,0.0,196507.6038596247,-0.035727061639093935,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
161,-0.5502499938011169,2,0.0,0.0,196368.73277103357,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
162,-0.3188142776489258,0,-0.01,0.0,196164.14175255728,-0.035727061639093935,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
163,-0.5667091608047485,2,0.0,0.0,196309.22934987364,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
164,-0.06801581382751465,0,-0.01,0.0,196139.06135528663,-0.035727061639093935,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
165,0.11239326000213623,0,-0.02,0.0,196066.07096835796,-0.035727061639093935,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
166,-0.49872130155563354,2,0.0,0.0,195920.66182748685,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
167,-0.3232121467590332,0,-0.01,0.0,195584.88103867183,-0.035727061639093935,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
168,-0.41582244634628296,2,0.0,0.0,195628.39659974826,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
169,-0.40690773725509644,2,0.0,0.0,195762.0515373401,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
170,0.38223719596862793,1,-3.735324414734421,-731.5498285684155,195566.63985925875,0.035517808842878425,0.07124487048197237,-3.7406677800205688,-3.7406677800205688,-0.0,-0.0,0.0053433652861479275,-3.735324414734421
171,-0.5290321707725525,2,-2.5320853178337006,-494.9764804874176,195071.66337877134,-0.03545684068828866,-0.07097464953116708,-2.537408416548538,-2.537408416548538,-0.0,-0.0,0.005323098714837531,-2.5320853178337006
172,-0.45009684562683105,2,0.0,0.0,195085.1901634939,-0.03545684068828866,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
173,0.34406399726867676,1,-2.034721741941148,-397.14267104777997,194674.52070772357,0.03537531259284464,0.07083215328113329,-2.040034153437233,-2.040034153437233,-0.0,-0.0,0.005312411496084997,-2.034721741941148
174,-0.5678744912147522,2,-1.5468285008004987,-301.6918897388113,194372.82881798476,-0.03531072229535435,-0.070686034888199,-1.5521299534171136,-1.5521299534171136,-0.0,-0.0,0.005301452616614925,-1.5468285008004987
175,-0.7117740511894226,2,0.0,0.0,194228.14313337955,-0.03531072229535435,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
176,0.1954120397567749,0,-0.01,0.0,194225.8655917915,-0.03531072229535435,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
177,-0.4525379538536072,2,0.0,0.0,193971.39887157,-0.03531072229535435,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
178,0.34582364559173584,1,-3.632840573131361,-704.5887307864426,193668.2400871983,0.03511145742550354,0.07042217972085789,-3.638122236610425,-3.638122236610425,-0.0,-0.0,0.005281663479064342,-3.632840573131361
179,-0.4583606719970703,2,0.6498682840757151,124.92043075560312,193793.16051795392,-0.035038795079735695,-0.07015025250523924,0.6446070151378221,0.6446070151378221,-0.0,-0.0,0.005261268937892943,0.6498682840757151
180,-0.36502349376678467,2,0.0,0.0,193684.04971007563,-0.035038795079735695,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
