portfolio_delta,portfolio_pct_change,portfolio_reward,position_bonus,action_penalty,total_reward
-6072.201447,-0.001,-0.1,0.089,0.01,-0.021
-15800.633893,-0.001,-0.1,0.027,0.01,-0.083
-9329.752822,-0.001,-0.1,0.1,0.01,-0.01
-3323.305562,-0.001,-0.1,0.025,0.01,-0.085
-4202.514452,-0.001,-0.1,0.014,0.01,-0.096
-2569.291521,-0.000849,-0.085,0.025,0.01,-0.069
-1117.306467,-0.000369,-0.037,0.025,0.01,-0.022
-4278.82049,-0.001,-0.1,0.016,0.01,-0.094
-2216.399,-0.00073,-0.073,0.0,0.0,-0.073
-4522.974754,-0.001,-0.1,0.06,0.01,-0.05
-9411.06352,-0.001,-0.1,0.1,0.01,-0.01
-10040.33818,-0.001,-0.1,0.064,0.01,-0.046
-16396.30949,-0.001,-0.1,0.086,0.01,-0.024
-11518.493025,-0.001,-0.1,0.1,0.01,-0.01
-19168.770702,-0.001,-0.1,0.1,0.01,-0.01
-3373.06918,-0.001,-0.1,0.1,0.01,-0.01
-14455.559198,-0.001,-0.1,0.1,0.01,-0.01
-17329.900339,-0.001,-0.1,0.1,0.01,-0.01
-5718.139531,-0.001,-0.1,0.043,0.01,-0.067
-7492.124508,-0.001,-0.1,0.04,0.01,-0.07
-4656.47405,-0.001,-0.1,0.034,0.01,-0.076
-7625.608943,-0.001,-0.1,0.1,0.01,-0.01
-6369.070351,-0.001,-0.1,0.084,0.01,-0.026
-8272.861739,-0.001,-0.1,0.082,0.01,-0.028
-13391.494848,-0.001,-0.1,0.094,0.01,-0.016
-15563.204263,-0.001,-0.1,0.094,0.01,-0.016
-7382.231871,-0.001,-0.1,0.028,0.01,-0.082
-6450.215366,-0.001,-0.1,0.086,0.01,-0.024
-6729.945574,-0.001,-0.1,0.0,0.0,-0.1
-1740.040452,-0.000538,-0.054,0.023,0.01,-0.041
-5993.722706,-0.001,-0.1,0.034,0.01,-0.076
-9289.398471,-0.001,-0.1,0.1,0.01,-0.01
-9031.740538,-0.001,-0.1,0.1,0.01,-0.01
